cap41	1040444.375	1040444.375
cap42	1098000.450	1098000.450
cap43	1153000.450	1153000.450
cap44	1235500.450	1235500.450
cap51	1025208.225	1025208.225
cap61	932615.750	932615.750
cap62	977799.400	977799.400
cap63	1014062.050	1014062.050
cap64	1045650.250	1045650.250
cap71	932615.750	932615.750
cap72	977799.400	977799.400
cap73	1010641.450	1010641.450
cap74	1034976.975	1034976.975
cap81	838499.288	838499.288
cap82	910889.563	910889.563
cap83	975889.563	975889.563
cap84	1069369.525	1069369.525
cap91	796648.438	796648.438
cap92	855733.500	855733.500
cap93	896617.538	896617.538
cap94	946051.325	946051.325
cap101	796648.437	796648.437
cap102	854704.200	854704.200
cap103	893782.112	893782.112
cap104	928941.750	928941.750
cap111	826124.713	826124.713
cap112	901377.213	901377.213
cap113	970567.750	970567.750
cap114	1063356.488	1063356.488
cap121	793439.563	793439.563
cap122	852524.625	852524.625
cap123	895302.325	895302.325
cap124	946051.325	946051.325
cap131	793439.562	793439.562
cap132	851495.325	851495.325
cap133	893076.712	893076.712
cap134	928941.750	928941.750
capa_8000	19240822.449	19240822.449
capa_10000	18438046.543	18438046.543
capa_12000	17765201.949	17765201.949
capa_14000	17160439.012	17160439.012
capb_5000	13656379.578	13656379.578
capb_6000	13361927.449	13361927.449
capb_7000	13198556.434	13198556.434
capb_8000	13082516.496	13082516.496
capc_5000	11646596.974	11646596.974
capc_5750	11570340.289	11570340.289
capc_6500	11518743.744	11518743.744
capc_7250	11505767.394	11505767.394
pmed1	5819	5819
pmed2	4093	4093
pmed3	4250	4250
pmed4	3034	3034
pmed5	1355	1355
pmed6	7824	7824
pmed7	5631	5631
pmed8	4445	4445
pmed9	2734	2734
pmed10	1255	1255
pmed11	7696	7696
pmed12	6634	6634
pmed13	4374	4374
pmed14	2968	2968
pmed15	1729	1729
pmed16	8162	8162
pmed17	6999	6999
pmed18	4809	4809
pmed19	2845	2845
pmed20	1789	1789
pmed21	9138	9138
pmed22	8579	8579
pmed23	4619	4619
pmed24	2961	2961
pmed25	1828	1828
pmed26	9917	9917
pmed27	8307	8307
pmed28	4498	4498
pmed29	3033	3033
pmed30	1989	1989
pmed31	10086	10086
pmed32	9297	9297
pmed33	4700	4700
pmed34	3013	3013
pmed35	10400	10400
pmed36	9934	9934
pmed37	5057	5057
pmed38	11060	11060
pmed39	9423	9423
pmed40	5128	5128
